ts,open,high,low,close,volume
2012-10-17 00:00:00+00:00,1455.98,1462.83,1451.1100000000001,1461.58,0
2012-10-18 00:00:00+00:00,1461.33,1464.21,1452.46,1455.8,0
2012-10-19 00:00:00+00:00,1455.9299999999998,1457.9299999999998,1428.17,1428.92,0
2012-10-22 00:00:00+00:00,1429.8000000000002,1437.17,1421.55,1436.42,0
2012-10-23 00:00:00+00:00,1436.67,1437.8000000000002,1406.8,1413.59,0
2012-10-24 00:00:00+00:00,1413.7199999999998,1420.02,1406.97,1412.06,0
2012-10-25 00:00:00+00:00,1411.94,1421.69,1402.31,1410.56,0
2012-10-26 00:00:00+00:00,1410.31,1417.19,1399.69,1412.73,0
2012-10-28 00:00:00+00:00,1411.1100000000001,1411.8600000000001,1407.8600000000001,1407.8600000000001,0
2012-10-29 00:00:00+00:00,1407.6100000000001,1411.1100000000001,1401.56,1402.6799999999998,0
2012-10-30 00:00:00+00:00,1402.81,1417.06,1398.31,1415.75,0
2012-10-31 00:00:00+00:00,1415.5,1423.0,1405.2199999999998,1406.9699999999998,0
2012-11-01 00:00:00+00:00,1407.2199999999998,1430.3000000000002,1403.4699999999998,1427.9299999999998,0
2012-11-02 00:00:00+00:00,1428.1799999999998,1436.1799999999998,1409.56,1411.11,0
2012-11-05 00:00:00+00:00,1408.19,1420.35,1407.44,1415.42,0
2012-11-06 00:00:00+00:00,1415.67,1433.93,1414.8000000000002,1428.29,0
2012-11-07 00:00:00+00:00,1428.54,1435.17,1387.71,1396.06,0
2012-11-08 00:00:00+00:00,1396.07,1400.94,1376.42,1380.04,0
2012-11-09 00:00:00+00:00,1379.54,1391.48,1367.17,1379.35,0
2012-11-12 00:00:00+00:00,1380.73,1385.43,1376.23,1381.61,0
2012-11-13 00:00:00+00:00,1381.6100000000001,1389.33,1369.24,1377.15,0
2012-11-14 00:00:00+00:00,1377.15,1384.2800000000002,1352.5,1355.92,0
2012-11-15 00:00:00+00:00,1356.17,1361.5500000000002,1348.05,1353.22,0
2012-11-16 00:00:00+00:00,1352.9699999999998,1362.81,1342.85,1362.56,0
2012-11-19 00:00:00+00:00,1362.94,1388.1399999999999,1362.94,1383.39,0
2012-11-20 00:00:00+00:00,1382.3899999999999,1389.77,1376.52,1388.36,0
2012-11-21 00:00:00+00:00,1388.1100000000001,1391.8000000000002,1379.74,1391.42,0
2012-11-22 00:00:00+00:00,1391.17,1395.8000000000002,1390.92,1394.05,0
2012-11-23 00:00:00+00:00,1393.92,1409.9,1389.3000000000002,1406.11,0
2012-11-26 00:00:00+00:00,1403.26,1407.245,1397.43,1407.17,0
2012-11-27 00:00:00+00:00,1406.17,1409.8000000000002,1397.93,1399.63,0
2012-11-28 00:00:00+00:00,1399.38,1410.57,1385.01,1408.21,0
2012-11-29 00:00:00+00:00,1408.46,1420.09,1406.3400000000001,1413.35,0
2012-11-30 00:00:00+00:00,1413.1,1420.98,1411.48,1417.58,0
2012-12-03 00:00:00+00:00,1415.21,1425.46,1405.9499999999998,1407.2,0
2012-12-04 00:00:00+00:00,1407.6999999999998,1413.08,1403.08,1404.11,0
2012-12-05 00:00:00+00:00,1403.8600000000001,1415.8,1398.05,1407.56,0
2012-12-06 00:00:00+00:00,1406.9099999999999,1414.135,1404.54,1413.59,0
2012-12-07 00:00:00+00:00,1413.0900000000001,1422.7199999999998,1409.2199999999998,1417.96,0
2012-12-10 00:00:00+00:00,1418.0900000000001,1421.6399999999999,1411.3400000000001,1418.1,0
2012-12-11 00:00:00+00:00,1417.85,1434.76,1415.73,1432.31,0
2012-12-12 00:00:00+00:00,1431.56,1438.88,1425.6,1425.85,0
2012-12-13 00:00:00+00:00,1425.6,1431.23,1415.86,1417.1,0
2012-12-14 00:00:00+00:00,1416.6,1425.23,1411.53,1416.63,0
2012-12-17 00:00:00+00:00,1421.26,1434.5900000000001,1415.26,1433.34,0
2012-12-18 00:00:00+00:00,1433.5900000000001,1448.38,1430.97,1445.45,0
2012-12-19 00:00:00+00:00,1445.1999999999998,1450.83,1432.44,1432.94,0
2012-12-20 00:00:00+00:00,1432.94,1445.54,1431.5700000000002,1444.94,0
2012-12-21 00:00:00+00:00,1445.29,1445.42,1388.29,1433.27,0
2012-12-24 00:00:00+00:00,1427.4,1429.4,1422.65,1424.4,0
2012-12-26 00:00:00+00:00,1424.4,1429.65,1415.9,1417.95,0
2012-12-27 00:00:00+00:00,1418.0,1423.13,1401.13,1418.36,0
2012-12-28 00:00:00+00:00,1418.1100000000001,1421.49,1387.38,1391.5,0
2012-12-31 00:00:00+00:00,1391.63,1430.42,1388.38,1428.42,0
2013-01-02 00:00:00+00:00,1445.67,1463.1,1443.67,1461.6,0
2013-01-03 00:00:00+00:00,1461.1,1465.43,1455.18,1459.3,0
2013-01-04 00:00:00+00:00,1459.4299999999998,1468.08,1456.6799999999998,1464.95,0
2013-01-07 00:00:00+00:00,1464.33,1465.58,1456.38,1461.95,0
2013-01-08 00:00:00+00:00,1461.75,1461.88,1451.13,1456.48,0
