ts,close
10/07/2019,18.91
10/08/2019,20.39
10/09/2019,19.51
10/10/2019,18.79
10/11/2019,17.55
10/14/2019,17.12
10/15/2019,16.48
10/16/2019,16.48
10/17/2019,16.44
10/18/2019,16.65
10/21/2019,16.28
10/22/2019,16.55
10/23/2019,16.29
10/24/2019,16.25
10/25/2019,15.71
10/28/2019,15.99
10/29/2019,16.09
10/30/2019,15.69
10/31/2019,16.05
11/01/2019,15.42
11/04/2019,15.62
11/05/2019,15.91
11/06/2019,15.83
11/07/2019,15.8
11/08/2019,15.53
11/11/2019,15.6
11/12/2019,15.49
11/13/2019,15.62
11/14/2019,15.6
11/15/2019,14.99
11/18/2019,15.17
11/19/2019,15.5
11/20/2019,15.64
11/21/2019,15.82
11/22/2019,15.4
11/25/2019,14.99
11/26/2019,14.85
11/27/2019,14.96
11/29/2019,15.51
12/02/2019,16.84
12/03/2019,17.63
12/04/2019,16.98
12/05/2019,16.78
12/06/2019,16.21
12/09/2019,17.3
12/10/2019,17.13
12/11/2019,16.91
12/12/2019,16.09
12/13/2019,15.28
12/16/2019,14.98
12/17/2019,15.15
12/18/2019,15.2
12/19/2019,15.14
12/20/2019,15.32
12/23/2019,15.5
12/24/2019,15.52
12/26/2019,15.52
12/27/2019,15.95
12/30/2019,16.68
12/31/2019,15.87
01/02/2020,15.19
01/03/2020,16.01
01/06/2020,15.92
01/07/2020,15.86
01/08/2020,15.4
01/09/2020,14.95
01/10/2020,14.95
01/13/2020,14.64
01/14/2020,14.64
01/15/2020,14.63
01/16/2020,14.45
01/17/2020,14.41
01/21/2020,14.87
01/22/2020,14.98
01/23/2020,14.99
01/24/2020,16.07
01/27/2020,18.16
01/28/2020,17.03
01/29/2020,17.03
01/30/2020,16.59
01/31/2020,18.63
02/03/2020,18.04
02/04/2020,16.7
02/05/2020,16.11
02/06/2020,15.89
02/07/2020,16.29
02/10/2020,16.13
02/11/2020,16.14
02/12/2020,15.36
02/13/2020,15.68
02/14/2020,15.5
02/18/2020,16.1
02/19/2020,15.82
02/20/2020,16.6
02/21/2020,17.61
02/24/2020,21.92
02/25/2020,23.86
02/26/2020,23.7
02/27/2020,29.92
02/28/2020,29.85
03/02/2020,27.7
03/03/2020,30.17
03/04/2020,27.51
03/05/2020,32.57
03/06/2020,35.46
03/09/2020,43.05
03/10/2020,39.44
03/11/2020,44.37
03/12/2020,57.24
03/13/2020,48.31
03/16/2020,67.7
03/17/2020,65.27
03/18/2020,72.98
03/19/2020,69.47
03/20/2020,65.59
03/23/2020,56.64
03/24/2020,52.11
03/25/2020,53.85
03/26/2020,49.79
03/27/2020,55.75
03/30/2020,51.26
03/31/2020,48.32
04/01/2020,51.17
04/02/2020,47.3
04/03/2020,44.84
04/06/2020,43.09
04/07/2020,43.42
04/08/2020,41.59
04/09/2020,40.61
04/13/2020,39.97
04/14/2020,36.46
04/15/2020,39.28
04/16/2020,39.21
04/17/2020,37.28
04/20/2020,40.97
04/21/2020,43.28
04/22/2020,40.92
04/23/2020,40.86
04/24/2020,37.81
04/27/2020,35.33
04/28/2020,35.37
04/29/2020,33.33
04/30/2020,35.05
05/01/2020,37.97
05/04/2020,37.0
05/05/2020,35.52
05/06/2020,35.68
05/07/2020,34.01
05/08/2020,31.64
05/11/2020,30.39
05/12/2020,34.26
05/13/2020,36.51
05/14/2020,34.9
05/15/2020,34.51
05/18/2020,31.77
05/19/2020,32.81
05/20/2020,31.11
05/21/2020,32.38
05/22/2020,31.54
05/26/2020,30.85
05/27/2020,30.19
05/28/2020,31.21
05/29/2020,30.27
06/01/2020,30.92
06/02/2020,29.93
06/03/2020,28.91
06/04/2020,28.85
06/05/2020,27.42
06/08/2020,28.08
06/09/2020,29.67
06/10/2020,29.57
06/11/2020,40.43
06/12/2020,38.05
06/15/2020,36.43
06/16/2020,35.8
06/17/2020,35.72
06/18/2020,35.14
06/19/2020,36.68
06/22/2020,33.75
06/23/2020,33.06
06/24/2020,35.39
06/25/2020,34.09
06/26/2020,35.8
06/29/2020,33.91
06/30/2020,32.52
07/01/2020,31.68
07/02/2020,30.87
07/06/2020,30.98
07/07/2020,32.07
07/08/2020,31.19
07/09/2020,32.06
07/10/2020,31.02
07/13/2020,34.54
07/14/2020,32.56
07/15/2020,31.56
07/16/2020,31.55
07/17/2020,30.37
07/20/2020,29.1
07/21/2020,29.47
07/22/2020,29.05
07/23/2020,30.25
07/24/2020,30.56
07/27/2020,30.0
07/28/2020,30.1
07/29/2020,29.29
07/30/2020,29.76
07/31/2020,29.71
08/03/2020,29.66
08/04/2020,29.09
08/05/2020,28.6
08/06/2020,28.2
08/07/2020,28.28
08/10/2020,28.05
08/11/2020,29.17
08/12/2020,28.12
08/13/2020,28.17
08/14/2020,28.37
08/17/2020,27.45
08/18/2020,27.35
08/19/2020,28.11
08/20/2020,28.13
08/21/2020,28.17
08/24/2020,28.1
08/25/2020,27.91
08/26/2020,28.7
08/27/2020,29.93
08/28/2020,29.62
08/31/2020,31.85
09/01/2020,32.1
09/02/2020,32.67
09/03/2020,37.63
09/04/2020,34.75
09/08/2020,34.31
09/09/2020,32.12
09/10/2020,32.92
09/11/2020,31.13
09/14/2020,30.48
09/15/2020,30.27
09/16/2020,30.57
09/17/2020,30.75
09/18/2020,30.46
09/21/2020,31.64
09/22/2020,31.67
09/23/2020,33.28
09/24/2020,33.06
09/25/2020,32.03
09/28/2020,31.74
09/29/2020,31.09
09/30/2020,31.64
10/01/2020,31.72
10/02/2020,32.39
10/05/2020,31.28
10/06/2020,31.88
10/07/2020,30.7
10/08/2020,29.49
10/09/2020,28.28
10/12/2020,27.98
10/13/2020,28.35
10/14/2020,28.24
10/15/2020,28.72
10/16/2020,29.21
10/19/2020,30.4
10/20/2020,30.11
10/21/2020,29.61
10/22/2020,29.3
10/23/2020,28.99
10/26/2020,32.07
10/27/2020,32.72
10/28/2020,37.75
10/29/2020,35.84
10/30/2020,36.27
11/02/2020,35.06
11/03/2020,33.52
11/04/2020,29.98
11/05/2020,29.05
11/06/2020,27.37
11/09/2020,26.88
11/10/2020,26.49
11/11/2020,25.62
11/12/2020,27.22
11/13/2020,25.69
11/16/2020,25.35
11/17/2020,25.38
11/18/2020,26.39
11/19/2020,25.8
11/20/2020,26.06
11/23/2020,25.43
11/24/2020,24.84
11/25/2020,24.42
11/27/2020,24.43
11/30/2020,24.33
12/01/2020,24.49
12/02/2020,24.54
12/03/2020,24.56
12/04/2020,24.29
12/07/2020,24.52
12/08/2020,23.87
12/09/2020,24.73
12/10/2020,25.05
12/11/2020,26.05
12/14/2020,27.11
12/15/2020,25.87
12/16/2020,25.47
12/17/2020,25.15
12/18/2020,25.17
12/21/2020,27.58
12/22/2020,27.25
12/23/2020,26.26
12/24/2020,25.37
12/28/2020,25.15
12/29/2020,26.24
12/30/2020,25.44
12/31/2020,25.28
01/04/2021,28.26
01/05/2021,27.25
01/06/2021,26.79
01/07/2021,25.02
01/08/2021,24.9
01/11/2021,26.7
01/12/2021,26.2
01/13/2021,25.55
01/14/2021,26.32
01/15/2021,27.26
01/19/2021,26.69
01/20/2021,25.72
01/21/2021,25.7
01/22/2021,25.99
01/25/2021,26.88
01/26/2021,26.89
